price,room,bathroom,surface,link,property_type,city,zone
540000.0,3.0,2.0,110.0,https://www.avito.ma/fr/marjane_2/appartements/%D9%85%D8%AA%D8%B1__%D8%B4%D9%82%D9%82_%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9_%D9%84%D9%84%D8%A8%D9%8A%D8%B9_%D8%A8%D9%85%D8%B1%D8%AC%D8%A7%D9%86_110__56481740.htm,Appartements , Meknès,Marjane 2
600000.0,,,,https://immoneuf.avito.ma/fr/unite/2Wc?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1780000.0,2.0,2.0,93.0,https://www.avito.ma/fr/administratif/appartements/appartement_ryad_tetouan_aafer_immo__55067023.htm,Appartements , Tanger,Administratif
410000.0,2.0,2.0,70.0,https://www.avito.ma/fr/el_haddada/appartements/belle_appartement_en_vente_elhadada__kenitra_56786202.htm,Appartements , Kénitra,El Haddada
985000.0,,,,https://immoneuf.avito.ma/fr/unite/jTT?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
700000.0,2.0,1.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_83_m%C2%B2_%C3%A0_Mekn%C3%A8s_56733353.htm,Appartements , Meknès,Autre secteur
920000.0,1.0,2.0,51.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_neuf_51_m%C2%B2_au_Boulevard_Anoual__54987518.htm,Appartements , Casablanca,Quartier des Hôpitaux
1570000.0,4.0,3.0,,https://www.avito.ma/fr/sidi_maarouf/maisons/Duplex_%C3%A0_vendre_%C3%A0_sidi_maarouf_240m%C2%B2_56697230.htm,Maisons , Casablanca,Sidi Maarouf
610000.0,,,,https://immoneuf.avito.ma/fr/unite/ida?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
3200000.0,,,1740.0,https://www.avito.ma/fr/bhalil/villas_et_riads/Villa_avec_Terrain___Puits___1740_m%C2%B2_56790743.htm,Villas et Riads , Bhalil,Toute la ville
